Verse,Start Time,End Time,,,
(soft pop music),0:00,0:04,,,
Hmm mm mm / Yeah yeah / Baby,0:04,0:12,,,
Please try to forgive me,0:12,0:20,,,
Stay here don't put out the glow,0:20,0:30,,,
Hold me now don't bother / If every minute it makes me weaker,0:30,0:38,,,
You can save me / From the man that I've become,0:38,0:46,,,
Oh yeah / Looking back on the things I've done,0:46,0:53,,,
I was trying to be someone / I played my part,0:53,1:01,,,
Kept you in the dark / Now let me show you,1:01,1:07,,,
The shape of my heart / Sadness is beautiful,1:07,1:17,,,
Loneliness is tragical / So help me,1:17,1:24,,,
I can't win this war / Oh no,1:24,1:32,,,
Touch me now  don't bother / If every second it makes me weaker,1:32,1:41,,,
You can save me / From the man I've become,1:41,1:51,,,
Looking back on the things I've done / Back on the things I've done / I was trying to be someone,1:51,2:00,,,
Trying / I played my part / Kept you in the dark / In the dark,2:00,2:06,,,
Now let me show you the shape of my heart,2:06,2:13,,,
I'm here with my confession / Got nothing to hide no more,2:13,2:22,,,
I don't know where to start / But to show you,2:22,2:29,,,
The shape of my heart,2:29,2:37,,,
I'm looking back on things I've done / I never wanna play the same old part,2:37,2:48,,,
I'll keep you in the dark / Keep you in the dark / Now let me show you the shape of my heart,2:48,2:57,,,
Looking back on the things I've done / I was trying to be someone,2:57,3:05,,,
Trying to be someone / I played my part / Kept you in the dark / Now let me show you / Now let me show you,3:05,3:14,,,
The shape of my heart / The true shape of my heart / Looking back on the things I've done,3:14,3:21,,,
I was trying to be someone / I played my part,3:21,3:28,,,
Kept you in the dark / Now let me show you the shape of,3:28,3:37,,,
Show you the shape / Of my heart,3:37,END,,,
